code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06060485],(30.12.2015),"Dálnice, silnice a místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:",,Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací a povětrnostním situacím a jejich důsledkům.,Schopnostem řidiče reagovat na nenadálé situace v silničním provozu.,Jízdním vlastnostem vozidla užitého řidičem v silničním provozu.
[06060487],(16.06.2006),"Silnice jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:",,Stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.,"Stavebnímu a dopravně technickému stavu silnice, bez ohledu na povětrnostní podmínky.",Možnostem finančního krytí investic z prostředků správce dané pozemní komunikace.
[06060489],(16.06.2006),"Místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel:",,Přizpůsobený stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.,"Za mlhy, deště nebo hustého sněžení.",Za snížené viditelnosti.
[06060491],(16.06.2006),"Závadou ve sjízdnosti dálnice se rozumí taková změna v její sjízdnosti, kterou:",,Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu dálnice a povětrnostním situacím a jejich důsledkům.,Řidič nemohl zjistit z dopravního zpravodajství.,Kterou vyvolal hustý provoz na dálnici.
[06060493],(30.12.2015),"Závadou ve sjízdnosti silnice se rozumí taková změna v její sjízdnosti, kterou:",,Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu silnice a povětrnostním situacím a jejich důsledkům.,Vyvolal uježděný sníh ležící na vozovce.,Mohl řidič při náležité obezřetnosti předvídat.
[06060494],(16.06.2006),Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny D:,,"Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 3.350 kg.","Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.",Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
[06060499],(16.06.2006),Které z následujících motorových vozidel nesmíte řídit s řidičským oprávněním skupiny B:,,"Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení.","Motorové vozidlo určené pro přepravu osob, s pěti místy k sezení, jehož maximální přípustná hmotnost je 1.850 kg.","Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 3.450 kg."
[06060509],(16.06.2006),Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny B:,,"Motorové vozidlo určené pro přepravu osob, s šesti místy k sezení, jehož maximální přípustná hmotnost je 2.200 kg.",Motocykl o objemu válců 50 cm3 a o výkonu 5 kW.,"Motocykl o objemu válců 125 cm3, jehož konstrukční rychlost je 90 km/h."
[06060510],(16.06.2006),Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny C:,,"Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.","Motorové vozidlo určené pro přepravu osob, s patnácti místy k sezení, jehož maximální přípustná hmotnost je 6.350 kg.",Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
[10040023],(26.04.2010),Zelená karta:,,"je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.",osvědčuje zaplacení dálničního poplatku.,je doklad o kontrole měření emisí.
[11040011],(29.04.2011),"Řidičské oprávnění skupiny C lze udělit jen žadateli, který je držitelem řidičského oprávnění skupiny:",,B.,A.,T.
[11040012],(29.04.2011),"Řidičské oprávnění skupiny D lze udělit jen žadateli, který je držitelem řidičského oprávnění skupiny:",,B,T,A
[11050001],(03.05.2011),Zelená karta:,,"Je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.",osvědčuje zaplacení ekologického poplatku.,je doklad o kontrole měření emisí.
[11080001],(02.08.2011),"Policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku (tzv. botičky) nebo odtažením vozidla, jestliže:",,"vozidlo je technicky nezpůsobilé k provozu tak závažným způsobem, že bezprostředně ohrožuje ostatní účastníky provozu.",vozidlo je z jakéhokoliv důvodu technicky nezpůsobilé k provozu.,k vozidlu není uzavřeno pojištění odpovědnosti z provozu vozidla.
[11080002],(02.08.2011),"Policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku (tzv. botičky) nebo odtažením vozidla, jestliže:",,"je důvodné podezření, že vozidlo bylo odcizeno.",na vozidle není umístěna státní poznávací značka.,řidič při kontrole nepředloží osvědčení o registraci vozidla a doklad o pojištění odpovědnosti z provozu vozidla.
[11080028],(02.08.2011),"Řidič, který dosáhl 12 bodů a pozbyl řidičské oprávnění, je oprávněn požádat o vrácení řidičského oprávnění nejdříve po uplynutí:",,1 roku ode dne pozbytí řidičského oprávnění.,půl roku ode dne pozbytí řidičského oprávnění.,1 roku ode dne právní moci rozhodnutí o zákazu činnosti spočívající v zákazu řízení všech motorových vozidel.
[11080029],(08.11.2018),Na výzvu policisty je řidič povinen podrobit vozidlo kontrole technického stavu vozidla. Zjistí-li se při této kontrole vážná nebo nebezpečná závada,,náklady na provedení kontroly je povinen uhradit policii řidič vozidla.,"náklady na provedení kontroly hradí pojišťovna, u které je vozidlo pojištěno.",náklady na provedení kontroly hradí provozovatel vozidla.
[11080030],(02.08.2011),"Řidič, který dosáhl 12 bodů a pozbyl řidičské oprávnění, musí při podání žádosti o vrácení řidičského oprávnění:",,"prokázat, že se podrobil přezkoušení z odborné způsobilosti a předložit posudek o zdravotní způsobilosti včetně dopravně psychologického vyšetření.","prokázat, že se podrobil přezkoušení z odborné způsobilosti a předložit výpis z evidenční karty řidiče.","prokázat, že je zdravotně způsobilý a předložit potvrzení o absolvování výuky a výcviku v autoškole."
[11080032],(23.02.2022),"Zákaz účasti na sportovních a podobných akcích, jestliže by jimi mohla být ohrožena bezpečnost silničního provozu, nejde-li o akce pořádané v souladu s rozhodnutím příslušného správního úřadu o zvláštním užívání pozemní komunikace:",,"platí na dálnici, silnici a místní komunikaci.",platí na všech pozemních komunikacích s výjimkou dálnic.,"platí na dálnici, silnici a místní komunikaci v období od 1.6. do 30.9."
[11080033],(02.08.2011),"Je-li důvodné podezření, že motorové vozidlo bylo užito při nepovolené sportovní akci na pozemní komunikaci:",,policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku nebo odtažením vozidla.,policista může zabránit v jízdě motorovému vozidlu odejmutím registračních značek.,policista může zabránit v jízdě motorovému vozidlu použitím zastavovacího pásu.
[15120001],(30.12.2015),"Dálnice, silnice a místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:",,Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací a povětrnostním situacím a jejich důsledkům.,Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací. Na  povětrnostní situaci a její důsledky nemusí brát zřetel.,Vlastnostem vozidla a nákladu bez ohledu na dopravně technický stav těchto pozemních komunikací a povětrnostní situaci a její důsledky.
[22020026],(07.02.2022),Řidič vozidla na snímku:,/Vestnik/GetImageQuestion/eTesty_1142.png,"Se dopouští protiprávního jednání, neboť tabulka registrační značky na zadní části vozidla je zakrytá.",Může toto vozidlo v provozu na pozemních komunikacích použít pouze za nesnížené viditelnosti.,
[22100031],(20.10.2022),V případě porušení povinnosti uzavřít pojištění odpovědnosti za újmu způsobenou provozem vozidla (tzv. povinné ručení):,/Vestnik/GetImageQuestion/eTesty_1427.png,musí vlastník nebo provozovatel vozidla uhradit České kanceláři pojistitelů příspěvek do garančního fondu za každý den porušení této povinnosti.,"nehrozí vlastníkovi a provozovateli vozidla žádný postih, pokud není provozem vozidla v daném období způsobena žádná újma.",musí vlastník nebo provozovatel vozidla uzavřít pojištění zpětně.
[22100032],(20.10.2022),V případě vzniku újmy způsobené provozem vozidla bez platného pojištění odpovědnosti za újmu způsobenou provozem vozidla (tzn. vozidlem bez tzv. povinného ručení) poškozený:,/Vestnik/GetImageQuestion/eTesty_1428.png,uplatní svůj nárok na plnění za způsobenou újmu u České kanceláře pojistitelů.,uplatní svůj nárok na plnění za způsobenou újmu u obecního úřadu obce s rozšířenou působností příslušného podle místa vzniku škodné události.,nemá právo uplatnit nárok na plnění za způsobenou újmu.
[23030016],(08.03.2023),"Může řidič s řidičským oprávněním skupiny B s harmonizovaným kódem 96 řídit soupravu vozidel,kdy osobní automobil má největší povolenou hmotnost 3 050 kg a okamžitou hmotnost 2 500 kg a přípojné vozidlo má největší povolenou hmotnost 1 650 kg a okamžitou hmotnost 900 kg?",/Vestnik/GetImageQuestion/eTesty_1500.png,"Nesmí. V případě, kdy přípojné vozidlo převyšuje 750 kg největší povolené hmotnosti,nesmí největší povolená hmotnost jízdní soupravy pro uvedené řidičské oprávnění převýšit 4 250 kg.",Může. Pro spojení vozidel do soupravy se sčítají provozní hmotnosti každého z vozidel soupravy.,"Může. Pro spojení vozidel do soupravy je rozhodující součet okamžitých hmotností vozidel soupravy, který nesmí překročit 4 250 kg."
[23030018],(08.03.2023),"Jakého řidičského oprávnění musí být řidič držitelem při řízení soupravy osobního automobilu s přípojným vozidlem, když největší povolená hmotnost osobního automobilu je 2 500 kg a největší povolená hmotnost přívěsu je 1 800 kg?",/Vestnik/GetImageQuestion/eTesty_1502.png,Musí být držitelem nejméně řidičského oprávnění skupiny B+E.,"Stačí řidičské oprávnění skupiny B s harmonizovaným kódem 96"".","Může mít řidičské oprávnění skupiny B, nebo skupiny C."
[23030019],(08.03.2023),"Může řidič s řidičským oprávněním skupiny D řídit autobus s přívěsem na přepravu jízdních kol,který má největší povolenou hmotnost 900 kg?",/Vestnik/GetImageQuestion/eTesty_1503.png,Nesmí. Pro řízení této soupravy musí mít řidičské oprávnění skupiny D+E.,"Ano, může. Okamžitá hmotnost přívěsu nesmí být větší než 750 kg.","Ano, může."
[23030020],(08.03.2023),Pro řízení soupravy traktoru s přípojným vozidlem je potřeba řidičské oprávnění:,,T.,D+E.,T+E.
[23060020],(22.06.2023),Držitel řidičského oprávnění skupiny A1 smí řídit také:,/Vestnik/GetImageQuestion/eTesty_1569.png,vozidla zařazená do skupiny AM.,vozidla zařazená do skupiny A2.,vozidla zařazená do skupiny A.
[23060021],(22.06.2023),Držitel řidičského oprávnění skupiny A2 smí řídit také:,/Vestnik/GetImageQuestion/eTesty_1570.png,"vozidla zařazená do skupiny AM, A1.",vozidla zařazená do skupiny T.,vozidla zařazená do skupiny A.
