code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06050206],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A23_6328330460954.jpg,Upozorňuje na nebezpečí výskytu kolony stojících nebo pomalu jedoucích vozidel.,"Upozorňuje na místo, kde při souběžné jízdě platí střídavé řazení do jízdního proudu průběžného pruhu.",Upozorňuje na bezpečný odstup mezi vozidly jedoucími v koloně.
[06050207],(07.08.2024),Tato dopravní značka:,/Vestnik/GetImageQuestion/A24_6328330462834.jpg,Upozorňuje na úsek se zvýšeným nebezpečím výskytu náledí na vozovce.,Upozorňuje řidiče motorového vozidla o třech a více kolech na povinnost pokračovat v jízdě až po nasazení sněhových (protiskluzových) řetězů na nejméně dvě hnací kola.,"Přikazuje řidiči motorového vozidla kategorie M nebo N, aby pokračoval v jízdě jen při splnění podmínek stanovených zákonem pro provoz vozidel v zimním období, a to bez ohledu na datum a aktuální nebo předpokládané povětrnostní podmínky."
[06050208],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A1a_6328331612165.jpg,"Upozorňuje řidiče na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.",Vyznačuje skutečný tvar hlavní pozemní komunikace.,Označuje zejména nebezpečnou zatáčku a usměrňuje provoz ve směru šipky.
[06050209],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A26_6328330466618.jpg,Upozorňuje na nebezpečí výskytu mlhy nebo kouře.,"Upozorňuje na místo, hromadné dopravní nehody.","Upozorňuje na vjezd do tunelu, kde kromě obecných pravidel provozu na pozemních komunikacích platí zvláštní pravidla pro provoz v tunelu."
[06050210],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A25_6328330464935.jpg,"Upozorňuje na místo, kde tramvaj křižuje směr jízdy ostatních vozidel.","Upozorňuje na místo, kde má řidič povinnost dát přednost v jízdě tramvaji, a to zejména mimo křižovatku.","Upozorňuje na místo nebo úsek pozemní komunikace, kde je povolena jízda podél tramvaje vlevo."
[06050211],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A19_6328330454937.jpg,"Upozorňuje na místo, kde cyklisté vjíždějí na vozovku nebo ji přejíždějí, anebo na úsek, kde se cyklisté často vyskytují.",Zakazuje vjezd cyklistům a jízdu na jízdním kole. Vedení jízdního kola cyklistou je povoleno.,Přikazuje cyklistům užít v daném směru takto označeného pruhu nebo stezky.
[06050212],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A19_6328332008906.jpg,"Upozorňuje na místo, kde cyklisté vjíždějí na vozovku nebo ji přejíždějí, anebo na úsek, kde se cyklisté často vyskytují.",Vyznačuje pruh nebo stezku pro cyklisty.,Označuje místo určené pro cyklisty čekající na světelný signál „Volno“.
[06050213],(31.12.2015),Tato dopravní značka upozorňuje na:,/Vestnik/GetImageQuestion/A15_6328330445826.jpg,"Práci na pozemní komunikaci nebo v jejím bezprostředním okolí, která by mohla ohrozit bezpečnost provozu na pozemních komunikacích nebo při níž by mohli být provozem ohroženi pracovníci tuto činnost vykonávající.","Místo nebo úsek pozemní komunikace, kde může docházet k časté nakládce a vykládce vozidel správce pozemní komunikace.","Místo nebo úsek pozemní komunikace, kde může docházet k častému pohybu hrajících si dětí."
[06050214],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A16_6328330447818.jpg,"Upozorňuje na místo s nebezpečím náhlého poryvu bočního větru, který může ohrozit bezpečnost provozu na pozemních komunikacích.","Upozorňuje na místo, v jehož blízkosti je umístěn větrný rukáv, z jehož pohybu je patrný směr a síla větru.","Upozorňuje na místo, v jehož blízkosti je letiště, kde v malé výšce nad pozemní komunikací přelétávají letadla."
[06050215],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A9 _6328330433182.jpg,"Upozorňuje na úsek pozemní komunikace, kde je na rozdíl od předcházejícího úseku provoz vozidel veden dočasně nebo trvale v obou směrech.","Upozorňuje na úsek pozemní komunikace, kde je provoz veden střídavě v obou směrech.","Upozorňuje na úsek pozemní komunikace, kde je řidič povinen dát přednost v jízdě protijedoucímu vozidlu v případě, kdy se protijedoucí vozidla nemohou bezpečně vyhnout."
[06050216],(31.12.2015),"Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace, kde:",/Vestnik/GetImageQuestion/A14_6328330443803.jpg,"Může docházet k častému výskytu divoké zvěře na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol volně žijícího živočicha.","Může docházet k častému výskytu domácích zvířat na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol zvířete.",Platí zákaz používání výstražných zvukových znamení z důvodu ochrany divoké zvěře.
[06050217],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A3 _6328330147992.jpg,"Upozorňuje na křižovatku, kde na rozdíl od svého předcházejícího průběhu již není pozemní komunikace hlavní a uplatňuje se zde ustanovení o přednosti v jízdě vozidel přijíždějících zprava.","Upozorňuje předem na křižovatku, kde je přednost v jízdě upravena dopravními značkami.","Upozorňuje na jednokolejný železniční přejezd. Je-li řidič povinen před železničním přejezdem zastavit vozidlo, zastaví před touto značkou."
[06050218],(31.12.2015),Tato dopravní značka upozorňuje:,/Vestnik/GetImageQuestion/A2a_6328330143214.jpg,"Na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
[06050219],(31.12.2015),Tato výstražná dopravní značka:,/Vestnik/GetImageQuestion/A17_6328330449667.jpg,"Upozorňuje na místo nebo úsek pozemní komunikace, kde se na vozovce vyskytuje volný štěrk, který by mohl ohrozit bezpečnost účastníků provozu na pozemních komunikacích.","Upozorňuje na místo nebo úsek pozemní komunikace, kde řidič musí dbát zvýšené opatrnosti vůči ostatním účastníkům provozu na pozemních komunikacích vzhledem k častému výskytu vodních kaluží.","Upozorňuje na místo nebo úsek pozemní komunikace, kde se může vlivem sesuvů nebo padání kamenů na pozemní komunikaci vyskytovat kamení nebo zemina."
[06050221],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A22_6328330458754.jpg,"Upozorňuje na jiné nebezpečí než to, které je možno označit příslušnou výstražnou značkou.","Upozorňuje na změnu místní úpravy provozu na pozemních komunikacích, změnu v organizaci dopravy, neobvyklé stavební uspořádání pozemní komunikace, místo s častým výskytem nehod apod.","Železniční přejezd, který není označen jinými dopravními značkami."
[06050222],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A7b_6328330428829.jpg,"Upozorňuje na umělou nerovnost na vozovce, jejímž účelem je zejména snížení rychlosti jedoucích vozidel.","Upozorňuje na hrboly, výtluky, díry a jiné nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky, vyžadující zvýšenou opatrnost nebo výrazné snížení rychlosti jízdy.",Upozorňuje na nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky způsobeným vyjetými kolejemi.
[06050223],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A20_6328330456829.jpg,"Upozorňuje na místo, kde v malé výšce nad pozemní komunikací přelétávají letadla.",Informuje o jiném cíli než obci nebo její části. Za jiný cíl se ve vyobrazeném případě považuje letiště.,Upozorňuje na úsek pozemní komunikace směřující na nechráněné letiště.
[06050224],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A1a_6328329804424.jpg,"Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje na nebezpečnou zatáčku, v níž musí řidič výrazně snížit rychlost jízdy, a usměrňuje provoz ve směru šipky.","Upozorňuje na zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
[06050225],(31.12.2015),"Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace, kde:",/Vestnik/GetImageQuestion/A13_6328330442023.jpg,"Může docházet k častému výskytu domácích zvířat na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol zvířete.","Může docházet k častému výskytu divoké zvěře na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol volně žijícího živočicha.",Platí zákaz hnaní domácích zvířat po pozemní komunikaci.
[06050241],(03.01.2016),"Tato dopravní značka zakazuje vjezd vozidel, jejichž:",/Vestnik/GetImageQuestion/B15_6328336446153.jpg,Okamžitá šířka včetně nákladu a zpětných zrcátek je větší než údaj uvedený na značce.,Okamžitá délka včetně nákladu a příslušenství vozidla je větší než údaj uvedený na značce.,Okamžitá výška včetně nákladu je větší než údaj uvedený na značce.
[06050242],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B7_6328336429456.jpg,Zakazuje vjezd motocyklům.,Umožňuje vjezd motocyklům.,Zakazuje jen vjezd motocyklům s postranním vozíkem.
[06050252],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B5_6328336426084.jpg,Zakazuje vjezd autobusům.,Označuje zastávku autobusu linkové osobní dopravy.,"Zakazuje vjezd všem motorovým vozidlům, s výjimkou autobusů."
[06050253],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B5_6328338640736.jpg,Zakazuje vjezd autobusů.,Označuje zastávku autobusu městské hromadné dopravy.,Zakazuje vjezd autobusů městské hromadné dopravy.
[06050255],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B12_6328336441018.jpg,Zakazuje vjezd vozidlům vyznačených druhů.,Povoluje vjezd  vozidlům vyznačených druhů. Nevyznačená vozidla mají vjezd zakázán.,Zakazuje vjezd všem motorovým i nemotorovým vozidlům.
[06050256],(03.01.2016),Zákaz vjezdu podle vyobrazené dopravní značky platí pro:,/Vestnik/GetImageQuestion/B11_6328336437024.jpg,Všechna motorová vozidla.,Vozidla vyznačených druhů.,Všechna vozidla.
[06050257],(03.01.2016),Tato dopravní značka zakazuje:,/Vestnik/GetImageQuestion/B13_6328336442712.jpg,"Vjezd vozidel, jejichž okamžitá hmotnost přesahuje údaj uvedený na značce.","Vjezd vozidel, jejichž okamžitá hmotnost připadající na nápravu přesahuje údaj uvedený na značce.","Vjezd vozidel, jejichž nejvyšší dovolená hmotnost přesahuje vyznačenou mez."
[06050258],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B16_6328336447914.jpg,"Zakazuje vjezd vozidel, jejichž okamžitá výška včetně nákladu je vyšší než údaj uvedený na značce.",Upozorňuje na výšku nadcházejícího podjezdu s vyznačením hodnoty.,"Zakazuje vjezd vozidel, jejichž výška  je vyšší než údaj uvedený na značce, a to bez ohledu na náklad."
[06050259],(16.05.2006),Co znamená tato dopravní značka?,/Vestnik/GetImageQuestion/0210_6328339289692.swf.mp4,"""Parkoviště"" (stání na chodníku podélné).","""Parkoviště"" (stání na chodníku kolmé nebo šikmé).","""Parkoviště"" (částečné stání na chodníku)."
[06050260],(03.01.2016),Označte správný význam značky:,/Vestnik/GetImageQuestion/B28_6328338273167.jpg,"Zakazuje zastavení  tj. uvedení vozidla do klidu, kromě případů vyvolaných okolnostmi v provozu na pozemních komunikacích jako je např. stojící kolona vozidel apod.","Zakazuje stání, tj. uvedení vozidla do klidu na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.",Ukončuje platnost zákazu stání.
[06050261],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B31_6328336485182.jpg,Zakazuje jezdci na zvířeti vjet se zvířetem na pozemní komunikaci za značkou; zákaz platí i pro vedení nebo hnaní takového zvířete.,Přikazuje jezdci na zvířeti užít takto označené pozemní komunikace nebo stezky; příkaz platí i pro i pro vedení nebo hnaní takového zvířete.,Označuje stezku pro jezdce na zvířeti; ostatním účastníkům provozu na pozemních komunikacích je její užívání zakázáno.
[06050262],(21.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B30_6328336483089.jpg,Zakazuje chodcům vstoupit na pozemní komunikaci nacházející se v prostoru za značkou.,"Upozorňuje na místo nebo úsek pozemní komunikace s možností zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci v místě, kde není zřízen přechod pro chodce.",Přikazuje chodcům užít v daném směru takto označené stezky. Ostatním účastníkům provozu na pozemních komunikacích je její užívání zakázáno.
[06050263],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B23a_6328336460770.jpg,Zakazuje užívání výstražných zvukových znamení.,Ukončuje platnost značky „Zákaz výstražných zvukových znamení“.,Zakazuje užívání  všech výstražných znamení.
[06050264],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B25_6328336472037.jpg,Zakazuje otáčení.,"Upozorňuje na úsek, kde se otáčejí vozidla zimní údržby.",Ukončuje platnost zákazu otáčení.
[06050269],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B24b_6328336465856.jpg,"Zakazuje odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.","Ukončuje zákaz odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci. .","Zakazuje odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci."
[06050270],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B22b_6328336459151.jpg,Ukončuje platnost značky „Zákaz předjíždění pro nákladní automobily“.,"Ukončuje platnost všech zákazů, které jsou stanoveny pro jedoucí vozidla.",Zakazuje řidiči nákladního automobilu o nejvyšší povolené hmotnosti převyšující 3500 kg předjíždět motorové vozidlo vlevo.
[06050271],(03.01.2016),Tato značka:,/Vestnik/GetImageQuestion/B24a_6328336464139.jpg,"Zakazuje odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.","Zakazuje odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.","Ukončuje platnost zákazu odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci."
[06050274],(03.01.2016),Tato značka:,/Vestnik/GetImageQuestion/B29_6328336481439.jpg,"Zakazuje stání, tj. uvedení vozidla do klidu na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.","Zakazuje zastavení nebo stání, tj. uvedení vozidla do klidu, kromě případů vyvolaných okolnostmi v provozu na pozemních komunikacích jako je např. stojící kolona vozidel apod.","Ukončuje platnost zákazu zastavení na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu."
[06050277],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A5a_6328330152948.jpg,"Upozorňuje na úsek pozemní komunikace, kde místní podmínky činí klesání nebezpečným. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.","Upozorňuje na klesající úsek pozemní komunikace, kde lze při sníženém účinku brzd, zastavit vozidlo pomocnými prostředky, například protisvahem, hrubým štěrkovým povrchem apod. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.",Upozorňuje na úsek pozemní komunikace s prudkým stoupáním. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.
[06050280],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B9_6328336433957.jpg,Zakazuje vjezd potahových vozidel.,Zakazuje jezdci na zvířeti vjet se zvířetem na pozemní komunikaci za značkou.,Zakazuje vedení nebo hnaní zvířete na pozemní komunikaci za značkou.
[06050290],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B8_6328336431715.jpg,Zakazuje vjezd cyklistům a jízdu na jízdním kole. Vedení jízdního kola cyklistou je povoleno.,Zakazuje vjezd všem vozidlům s výjimkou cyklistů.,Přikazuje cyklistům užít v daném směru takto označené stezky.
[06050295],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A2b_6327619682482.gif,"Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.","Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
[06050347],(18.05.2006),"Která z vyobrazených dodatkových tabulek vyznačuje směr k místu, ke kterému se vztahuje dopravní značka, pod kterou je tato tabulka umístěna:",,.,.,.
[06050348],(04.01.2016),Která z vyobrazených dopravních značek zakazuje řidiči jet rychlostí 40 km/h:,,.,.,.
[06050361],(18.05.2006),Která z vyobrazených dopravních značek označuje hlavní pozemní komunikaci.,,.,.,.
[06050371],(03.01.2016),Tato značka:,/Vestnik/GetImageQuestion/B18_6328349597996.gif,"Zakazuje vjezd vozidlům, která přepravují výbušniny, snadno hořlavý nebo jinak nebezpečný náklad.","Zakazuje vjezd vozidel nebo jízdních souprav přepravujících sypké materiály, které nemají zakrytý nákladový prostor.","Zakazuje vjezd vozidlům přepravujícím ropu nebo ropné materiály nebo jiné látky, které by mohly způsobit ohrožení životního prostředí, zejména znečištění vody."
[06050374],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A1a_6328349626376.jpg,"Upozorňuje řidiče na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje řidiče na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje řidiče na zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
[06050375],(02.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/A4 _6328349653729.jpg,Upozorňuje v odůvodněných případech na křižovatku s kruhovým objezdem.,Přikazuje jízdu po křižovatce s kruhovým objezdem ve směru šipek na značce zobrazených.,Označuje dopravní okruh zřízený pro objíždění obce nebo její části.
[06050381],(30.01.2023),"Která z vyobrazených dodatkových tabulek vyznačuje úsek platnosti dopravní značky, pod kterou je umístěna:",,E 8d,E 2C,E 7b
[06050390],(02.01.2016),Tato dopravní značka řidiče:,/Vestnik/GetImageQuestion/A7b_6328349542506.gif,"Upozorňuje na umělou nerovnost na vozovce, jejímž účelem je zejména snížení rychlosti jedoucích vozidel.","Upozorňuje na hrboly, výtluky, díry a jiné nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky, vyžadující zvýšenou opatrnost nebo výrazné snížení rychlosti jízdy.","Bezprostředně označuje umělou nerovnost na vozovce, jejímž účelem je snížení rychlosti jedoucích vozidel."
[06050393],(18.05.2006),"Dopravní značka ""Jednosměrný provoz"" vymezuje úsek komunikace, kde je zakázáno:",/Vestnik/GetImageQuestion/0051_6328349578814.swf.mp4,"Couvat, pokud to není nezbytně nutné, například k zajetí do řady vozidel nebo vyjetí z ní.","Zastavit a stát, s výjimkou míst označených jako parkoviště.","Jet rychlostí vyšší než 20 km.h-1, jestliže dopravní značkou není dovolena rychlost vyšší."
[06050446],(02.01.2016),Tato výstražná dopravní značka upozorňuje na:,/Vestnik/GetImageQuestion/A1a_6328354183073.gif,Zatáčku vpravo.,Směr pro opuštění křižovatky s kruhovým objezdem.,Zatáčku vlevo.
[06050449],(02.01.2016),Tato značka:,/Vestnik/GetImageQuestion/A7b_6328354012406.gif,"Upozorňuje na umělou nerovnost na vozovce, jejímž účelem je zejména snížení rychlosti jedoucích vozidel.","Bezprostředně označuje umělou nerovnost na vozovce, jejímž účelem je snížení rychlosti jedoucích vozidel a je zpravidla označena žlutočernými pruhy.","Upozorňuje na hrboly, výtluky, díry a jiné nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky, vyžadující zvýšenou opatrnost nebo výrazné snížení rychlosti jízdy."
[06050451],(02.01.2016),Tato dopravní značka upozorňuje na:,/Vestnik/GetImageQuestion/A1b_6328354018131.gif,"Zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.",Směr dopravního okruhu zřízeného pro objíždění obce nebo její části.
[06050452],(02.01.2016),Tato značka:,/Vestnik/GetImageQuestion/A8 _6328354207779.gif,"Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.","Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla pouze za ztížených povětrnostních podmínek.","Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla pouze za deště, sněhu nebo náledí."
[06050454],(03.01.2016),Tato značka zakazuje vjezd:,/Vestnik/GetImageQuestion/B18_6328354215221.gif,"Vozidlům, která přepravují výbušniny, snadno hořlavý nebo jinak nebezpečný náklad","Vozidlům přepravujícím ropu nebo ropné materiály nebo jiné látky, které by mohly způsobit ohrožení životního prostředí.","Vozidlům, jejichž okamžitá hmotnost připadající na nápravu přesahuje hodnoty stanovené výrobcem vozidla."
[06050457],(03.01.2016),Tato dopravní značka znamená:,/Vestnik/GetImageQuestion/B1_6328354245404.gif,Zákaz vjezdu všech vozidel (v obou směrech).,Zákaz vjezdu všech motorových vozidel (v obou směrech).,Zákaz vjezdu všech nemotorových vozidel (v obou směrech).
[06050461],(04.01.2016),Tato značka znamená:,/Vestnik/GetImageQuestion/C 2b.jpg,Přikázaný směr jízdy vpravo.,Přikázaný směr objíždění vpravo.,Jednosměrný provoz.
[06050526],(03.01.2016),Tato dopravní značka:,/Vestnik/GetImageQuestion/B28_6328336477331.jpg,"Zakazuje zastavení nebo stání, tj. uvedení vozidla do klidu, kromě případů vyvolaných okolnostmi v provozu na pozemních komunikacích jako je např. stojící kolona vozidel apod.","Zakazuje stání, tj. uvedení vozidla do klidu na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.",Zakazuje zastavení  s výjimkou doby nezbytně nutné k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.
[06050550],(02.01.2016),Tato dopravní značka znamená:,/Vestnik/GetImageQuestion/A2a_6328435770785.gif,"Dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo.","Nebezpečí smyku na místě nebo úseku pozemní komunikace, za ztížených povětrnostních podmínek.","Dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo."
